Time,Power(MW),Capacity(MWp)
01/01/2018 00:00,0.0,79.74
01/01/2018 00:15,0.0,79.74
01/01/2018 00:30,0.0,79.74
01/01/2018 00:45,0.0,79.74
01/01/2018 01:00,0.0,79.74
01/01/2018 01:15,0.0,79.74
01/01/2018 01:30,0.0,79.74
01/01/2018 01:45,0.0,79.74
01/01/2018 02:00,0.0,79.74
01/01/2018 02:15,0.0,79.74
01/01/2018 02:30,0.0,79.74
01/01/2018 02:45,0.0,79.74
01/01/2018 03:00,0.0,79.74
01/01/2018 03:15,0.0,79.74
01/01/2018 03:30,0.0,79.74
01/01/2018 03:45,0.0,79.74
01/01/2018 04:00,0.0,79.74
01/01/2018 04:15,0.0,79.74
01/01/2018 04:30,0.0,79.74
01/01/2018 04:45,0.0,79.74
01/01/2018 05:00,0.0,79.74
01/01/2018 05:15,0.0,79.74
01/01/2018 05:30,0.0,79.74
01/01/2018 05:45,0.0,79.74
01/01/2018 06:00,0.0,79.74
01/01/2018 06:15,0.0,79.74
01/01/2018 06:30,0.0,79.74
01/01/2018 06:45,0.0,79.74
01/01/2018 07:00,0.0,79.74
01/01/2018 07:15,0.0,79.74
01/01/2018 07:30,0.0,79.74
01/01/2018 07:45,0.0,79.74
01/01/2018 08:00,0.0,79.74
01/01/2018 08:15,0.0,79.74
01/01/2018 08:30,0.0,79.74
01/01/2018 08:45,0.0,79.74
01/01/2018 09:00,0.74,79.74
01/01/2018 09:15,1.64,79.74
01/01/2018 09:30,2.84,79.74
01/01/2018 09:45,4.54,79.74
01/01/2018 10:00,6.01,79.74
01/01/2018 10:15,7.45,79.74
01/01/2018 10:30,9.51,79.74
01/01/2018 10:45,11.75,79.74
01/01/2018 11:00,13.56,79.74
01/01/2018 11:15,15.69,79.74
01/01/2018 11:30,15.89,79.74
01/01/2018 11:45,12.39,79.74
01/01/2018 12:00,8.21,79.74
01/01/2018 12:15,6.94,79.74
01/01/2018 12:30,6.42,79.74
01/01/2018 12:45,5.76,79.74
01/01/2018 13:00,5.41,79.74
01/01/2018 13:15,4.96,79.74
01/01/2018 13:30,4.54,79.74
01/01/2018 13:45,3.01,79.74
01/01/2018 14:00,1.96,79.74
01/01/2018 14:15,1.73,79.74
01/01/2018 14:30,1.5,79.74
01/01/2018 14:45,1.31,79.74
01/01/2018 15:00,1.03,79.74
01/01/2018 15:15,0.79,79.74
01/01/2018 15:30,0.54,79.74
01/01/2018 15:45,0.36,79.74
01/01/2018 16:00,0.19,79.74
01/01/2018 16:15,0.03,79.74
01/01/2018 16:30,0.0,79.74
01/01/2018 16:45,0.0,79.74
01/01/2018 17:00,0.0,79.74
01/01/2018 17:15,0.0,79.74
01/01/2018 17:30,0.0,79.74
01/01/2018 17:45,0.0,79.74
01/01/2018 18:00,0.0,79.74
01/01/2018 18:15,0.0,79.74
01/01/2018 18:30,0.0,79.74
01/01/2018 18:45,0.0,79.74
01/01/2018 19:00,0.0,79.74
01/01/2018 19:15,0.0,79.74
01/01/2018 19:30,0.0,79.74
01/01/2018 19:45,0.0,79.74
01/01/2018 20:00,0.0,79.74
01/01/2018 20:15,0.0,79.74
01/01/2018 20:30,0.0,79.74
01/01/2018 20:45,0.0,79.74
01/01/2018 21:00,0.0,79.74
01/01/2018 21:15,0.0,79.74
01/01/2018 21:30,0.0,79.74
01/01/2018 21:45,0.0,79.74
01/01/2018 22:00,0.0,79.74
01/01/2018 22:15,0.0,79.74
01/01/2018 22:30,0.0,79.74
01/01/2018 22:45,0.0,79.74
01/01/2018 23:00,0.0,79.74
01/01/2018 23:15,0.0,79.74
01/01/2018 23:30,0.0,79.74
01/01/2018 23:45,0.0,79.74
02/01/2018 00:00,0.0,79.74
02/01/2018 00:15,0.0,79.74
02/01/2018 00:30,0.0,79.74
02/01/2018 00:45,0.0,79.74
02/01/2018 01:00,0.0,79.74
02/01/2018 01:15,0.0,79.74
02/01/2018 01:30,0.0,79.74
02/01/2018 01:45,0.0,79.74
02/01/2018 02:00,0.0,79.74
02/01/2018 02:15,0.0,79.74
02/01/2018 02:30,0.0,79.74
02/01/2018 02:45,0.0,79.74
02/01/2018 03:00,0.0,79.74
02/01/2018 03:15,0.0,79.74
02/01/2018 03:30,0.0,79.74
02/01/2018 03:45,0.0,79.74
02/01/2018 04:00,0.0,79.74
02/01/2018 04:15,0.0,79.74
02/01/2018 04:30,0.0,79.74
02/01/2018 04:45,0.0,79.74
02/01/2018 05:00,0.0,79.74
02/01/2018 05:15,0.0,79.74
02/01/2018 05:30,0.0,79.74
02/01/2018 05:45,0.0,79.74
02/01/2018 06:00,0.0,79.74
02/01/2018 06:15,0.0,79.74
02/01/2018 06:30,0.0,79.74
02/01/2018 06:45,0.0,79.74
02/01/2018 07:00,0.0,79.74
02/01/2018 07:15,0.0,79.74
02/01/2018 07:30,0.0,79.74
02/01/2018 07:45,0.0,79.74
02/01/2018 08:00,0.0,79.74
02/01/2018 08:15,0.0,79.74
02/01/2018 08:30,0.0,79.74
02/01/2018 08:45,0.0,79.74
02/01/2018 09:00,0.24,79.74
02/01/2018 09:15,0.73,79.74
02/01/2018 09:30,1.53,79.74
02/01/2018 09:45,2.72,79.74
02/01/2018 10:00,3.93,79.74
02/01/2018 10:15,5.72,79.74
02/01/2018 10:30,7.81,79.74
02/01/2018 10:45,9.68,79.74
02/01/2018 11:00,10.63,79.74
02/01/2018 11:15,11.0,79.74
02/01/2018 11:30,11.49,79.74
02/01/2018 11:45,10.91,79.74
02/01/2018 12:00,8.82,79.74
02/01/2018 12:15,7.62,79.74
02/01/2018 12:30,7.54,79.74
02/01/2018 12:45,8.1,79.74
02/01/2018 13:00,7.83,79.74
02/01/2018 13:15,6.82,79.74
02/01/2018 13:30,5.39,79.74
02/01/2018 13:45,4.73,79.74
02/01/2018 14:00,4.34,79.74
02/01/2018 14:15,3.87,79.74
02/01/2018 14:30,3.81,79.74
02/01/2018 14:45,3.28,79.74
02/01/2018 15:00,3.04,79.74
02/01/2018 15:15,2.26,79.74
02/01/2018 15:30,1.25,79.74
02/01/2018 15:45,0.73,79.74
02/01/2018 16:00,0.36,79.74
02/01/2018 16:15,0.08,79.74
02/01/2018 16:30,0.0,79.74
02/01/2018 16:45,0.0,79.74
02/01/2018 17:00,0.0,79.74
02/01/2018 17:15,0.0,79.74
