Time,Power(MW),Capacity(MWp)
01/01/2016 00:00,50.99,102
01/01/2016 00:15,52.63,102
01/01/2016 00:30,50.52,102
01/01/2016 00:45,44.67,102
01/01/2016 01:00,51.92,102
01/01/2016 01:15,52.5,102
01/01/2016 01:30,51.65,102
01/01/2016 01:45,40.59,102
01/01/2016 02:00,34.75,102
01/01/2016 02:15,27.92,102
01/01/2016 02:30,26.21,102
01/01/2016 02:45,28.94,102
01/01/2016 03:00,23.73,102
01/01/2016 03:15,16.66,102
01/01/2016 03:30,15.66,102
01/01/2016 03:45,15.68,102
01/01/2016 04:00,17.24,102
01/01/2016 04:15,14.64,102
01/01/2016 04:30,15.07,102
01/01/2016 04:45,17.51,102
01/01/2016 05:00,16.31,102
01/01/2016 05:15,13.99,102
01/01/2016 05:30,14.39,102
01/01/2016 05:45,10.17,102
01/01/2016 06:00,9.27,102
01/01/2016 06:15,8.73,102
01/01/2016 06:30,7.72,102
01/01/2016 06:45,6.49,102
01/01/2016 07:00,4.52,102
01/01/2016 07:15,2.72,102
01/01/2016 07:30,1.5,102
01/01/2016 07:45,0.8,102
01/01/2016 08:00,0.8,102
01/01/2016 08:15,1.75,102
01/01/2016 08:30,1.75,102
01/01/2016 08:45,2.13,102
01/01/2016 09:00,2.96,102
01/01/2016 09:15,2.75,102
01/01/2016 09:30,5.36,102
01/01/2016 09:45,6.04,102
01/01/2016 10:00,3.77,102
01/01/2016 10:15,2.0,102
01/01/2016 10:30,1.75,102
01/01/2016 10:45,2.58,102
01/01/2016 11:00,4.11,102
01/01/2016 11:15,1.82,102
01/01/2016 11:30,3.49,102
01/01/2016 11:45,3.27,102
01/01/2016 12:00,3.27,102
01/01/2016 12:15,2.48,102
01/01/2016 12:30,4.47,102
01/01/2016 12:45,3.12,102
01/01/2016 13:00,1.8,102
01/01/2016 13:15,4.31,102
01/01/2016 13:30,4.59,102
01/01/2016 13:45,5.65,102
01/01/2016 14:00,6.5,102
01/01/2016 14:15,9.67,102
01/01/2016 14:30,10.56,102
01/01/2016 14:45,11.12,102
01/01/2016 15:00,9.39,102
01/01/2016 15:15,7.39,102
01/01/2016 15:30,7.23,102
01/01/2016 15:45,7.41,102
01/01/2016 16:00,9.64,102
01/01/2016 16:15,8.65,102
01/01/2016 16:30,7.1,102
01/01/2016 16:45,10.34,102
01/01/2016 17:00,15.31,102
01/01/2016 17:15,19.02,102
01/01/2016 17:30,19.23,102
01/01/2016 17:45,21.58,102
01/01/2016 18:00,22.34,102
01/01/2016 18:15,20.54,102
01/01/2016 18:30,17.26,102
01/01/2016 18:45,18.19,102
01/01/2016 19:00,23.14,102
01/01/2016 19:15,27.34,102
01/01/2016 19:30,23.72,102
01/01/2016 19:45,26.72,102
01/01/2016 20:00,27.77,102
01/01/2016 20:15,26.1,102
01/01/2016 20:30,25.8,102
01/01/2016 20:45,25.75,102
01/01/2016 21:00,31.42,102
01/01/2016 21:15,32.11,102
01/01/2016 21:30,27.7,102
01/01/2016 21:45,31.49,102
01/01/2016 22:00,33.12,102
01/01/2016 22:15,33.03,102
01/01/2016 22:30,30.01,102
01/01/2016 22:45,33.49,102
01/01/2016 23:00,41.72,102
01/01/2016 23:15,37.15,102
01/01/2016 23:30,28.71,102
01/01/2016 23:45,31.72,102
02/01/2016 00:00,35.27,102
02/01/2016 00:15,37.85,102
02/01/2016 00:30,47.46,102
02/01/2016 00:45,61.57,102
02/01/2016 01:00,56.9,102
02/01/2016 01:15,44.63,102
02/01/2016 01:30,44.13,102
02/01/2016 01:45,51.84,102
02/01/2016 02:00,52.27,102
02/01/2016 02:15,51.89,102
02/01/2016 02:30,58.39,102
02/01/2016 02:45,60.87,102
02/01/2016 03:00,68.07,102
02/01/2016 03:15,60.24,102
02/01/2016 03:30,56.94,102
02/01/2016 03:45,65.35,102
02/01/2016 04:00,58.43,102
02/01/2016 04:15,49.17,102
02/01/2016 04:30,48.65,102
02/01/2016 04:45,43.13,102
02/01/2016 05:00,45.07,102
02/01/2016 05:15,51.28,102
02/01/2016 05:30,54.19,102
02/01/2016 05:45,49.51,102
02/01/2016 06:00,45.78,102
02/01/2016 06:15,44.56,102
02/01/2016 06:30,42.07,102
02/01/2016 06:45,45.39,102
02/01/2016 07:00,49.58,102
02/01/2016 07:15,46.51,102
02/01/2016 07:30,43.16,102
02/01/2016 07:45,35.4,102
02/01/2016 08:00,28.6,102
02/01/2016 08:15,27.49,102
02/01/2016 08:30,30.62,102
02/01/2016 08:45,34.64,102
02/01/2016 09:00,29.74,102
02/01/2016 09:15,36.91,102
02/01/2016 09:30,38.25,102
02/01/2016 09:45,30.93,102
02/01/2016 10:00,25.31,102
02/01/2016 10:15,26.66,102
02/01/2016 10:30,29.72,102
02/01/2016 10:45,35.48,102
02/01/2016 11:00,36.56,102
02/01/2016 11:15,42.91,102
02/01/2016 11:30,40.7,102
02/01/2016 11:45,37.57,102
02/01/2016 12:00,40.2,102
02/01/2016 12:15,38.46,102
02/01/2016 12:30,34.7,102
02/01/2016 12:45,39.11,102
02/01/2016 13:00,40.94,102
02/01/2016 13:15,43.3,102
02/01/2016 13:30,46.37,102
02/01/2016 13:45,48.11,102
02/01/2016 14:00,46.49,102
02/01/2016 14:15,52.96,102
02/01/2016 14:30,62.11,102
02/01/2016 14:45,58.16,102
02/01/2016 15:00,59.47,102
02/01/2016 15:15,59.4,102
02/01/2016 15:30,57.43,102
02/01/2016 15:45,62.38,102
02/01/2016 16:00,56.99,102
02/01/2016 16:15,59.62,102
02/01/2016 16:30,61.63,102
02/01/2016 16:45,56.19,102
02/01/2016 17:00,51.96,102
02/01/2016 17:15,56.78,102
02/01/2016 17:30,64.73,102
02/01/2016 17:45,69.54,102
02/01/2016 18:00,70.72,102
02/01/2016 18:15,74.21,102
02/01/2016 18:30,75.93,102
02/01/2016 18:45,67.74,102
02/01/2016 19:00,66.89,102
02/01/2016 19:15,70.34,102
02/01/2016 19:30,72.52,102
02/01/2016 19:45,71.19,102
02/01/2016 20:00,77.83,102
02/01/2016 20:15,80.94,102
02/01/2016 20:30,81.14,102
02/01/2016 20:45,78.7,102
02/01/2016 21:00,79.08,102
02/01/2016 21:15,79.93,102
02/01/2016 21:30,81.37,102
02/01/2016 21:45,81.59,102
02/01/2016 22:00,77.19,102
02/01/2016 22:15,69.6,102
02/01/2016 22:30,69.91,102
02/01/2016 22:45,65.55,102
02/01/2016 23:00,63.08,102
02/01/2016 23:15,65.08,102
02/01/2016 23:30,65.51,102
02/01/2016 23:45,67.28,102
03/01/2016 00:00,68.06,102
03/01/2016 00:15,74.78,102
03/01/2016 00:30,75.3,102
03/01/2016 00:45,74.71,102
03/01/2016 01:00,72.45,102
03/01/2016 01:15,71.63,102
03/01/2016 01:30,72.48,102
03/01/2016 01:45,74.4,102
03/01/2016 02:00,73.94,102
03/01/2016 02:15,70.98,102
03/01/2016 02:30,63.7,102
03/01/2016 02:45,61.29,102
03/01/2016 03:00,60.25,102
03/01/2016 03:15,67.55,102
03/01/2016 03:30,62.49,102
03/01/2016 03:45,64.23,102
03/01/2016 04:00,61.43,102
03/01/2016 04:15,60.57,102
03/01/2016 04:30,57.49,102
03/01/2016 04:45,61.48,102
03/01/2016 05:00,63.19,102
03/01/2016 05:15,60.87,102
03/01/2016 05:30,59.15,102
03/01/2016 05:45,58.87,102
03/01/2016 06:00,59.79,102
03/01/2016 06:15,56.75,102
03/01/2016 06:30,51.86,102
03/01/2016 06:45,48.1,102
