,0
0,0.40863416
1,0.4204119
2,0.24870476
3,0.1508429
4,0.14466944
5,0.121813156
6,0.06407716
7,0.010522775
8,0.013762645
9,0.0491518
10,0.017258666
11,0.034628704
12,0.03206741
13,0.041846365
14,0.10613554
15,0.067679055
16,0.08947816
17,0.20207334
18,0.1807555
19,0.24954611
20,0.24751586
21,0.30413538
22,0.31056097
23,0.3356473
24,0.4438651
25,0.46532091
26,0.5428755
27,0.6101535
28,0.42930824
29,0.4746357
30,0.407334
31,0.41320089
32,0.2736599
33,0.3359889
34,0.27097315
35,0.3938307
36,0.3588839
37,0.43461248
38,0.53647286
39,0.5794939
40,0.55849993
41,0.584632
42,0.70600194
43,0.6632891
44,0.77044815
45,0.76502275
46,0.6363208
47,0.6032906
48,0.70629406
49,0.6759817
50,0.6175315
51,0.58600146
52,0.555246
53,0.5655476
54,0.49112508
55,0.44398245
56,0.54824513
57,0.44772068
58,0.37839097
59,0.38577017
60,0.4517689
61,0.49189183
62,0.53188753
63,0.62634116
64,0.5831112
65,0.715902
66,0.79386294
67,0.76262033
68,0.70040536
69,0.82137775
70,0.6833242
71,0.3267838
72,0.35420725
73,0.31441048
74,0.23423046
75,0.32884356
76,0.24065033
77,0.3191567
78,0.31543803
79,0.2758075
80,0.32713577
81,0.302909
82,0.3588151
83,0.36063442
84,0.31613097
85,0.28945193
86,0.28346166
87,0.29707053
88,0.30249795
89,0.41409686
90,0.5069244
91,0.5621072
92,0.6274595
93,0.74471855
94,0.60165036
95,0.5085558
96,0.43892017
97,0.46230778
98,0.49352148
99,0.48587474
100,0.43995306
101,0.347042
102,0.37326697
103,0.35540164
104,0.35895103
105,0.41278028
106,0.30537882
107,0.39470083
108,0.3404754
109,0.27483
110,0.2194587
111,0.23863018
112,0.31173673
113,0.4243699
114,0.32511595
115,0.41128805
116,0.5162446
117,0.4304463
118,0.35160273
119,0.25236318
120,0.22236568
121,0.21746653
122,0.1535919
123,0.12086586
124,0.17185754
125,0.08852833
126,0.0973093
127,0.08032394
128,0.05823333
129,0.0957383
130,0.04811269
131,0.06363522
132,0.06347034
133,0.022621423
134,0.044747077
135,0.040310018
136,0.057810403
137,0.077808656
138,0.14177081
139,0.10748538
140,0.15921292
141,0.27169806
142,0.18056625
143,0.20819446
144,0.21178237
145,0.21037489
146,0.2052868
147,0.2673062
148,0.2802536
149,0.2957996
150,0.48876676
151,0.4676191
152,0.6261735
153,0.7028326
154,0.69370466
155,0.6966736
156,0.76247525
157,0.78010225
158,0.70816
159,0.87875915
160,0.8836947
161,0.8428838
162,0.7105018
163,0.68862486
164,0.67356545
165,0.50474846
166,0.6211389
167,0.66490996
168,0.6500819
169,0.6997702
170,0.49187765
171,0.34340224
172,0.41424617
173,0.34612194
174,0.47430745
175,0.38659748
176,0.29216823
177,0.27506462
178,0.3270726
179,0.21647069
180,0.14415246
181,0.11771501
182,0.11538159
183,0.06968147
184,0.050994724
185,0.24057072
186,0.39730006
187,0.44923976
188,0.34082714
189,0.28705993
190,0.3392664
191,0.27941382
192,0.18883678
193,0.15513161
194,0.14796379
195,0.14170122
196,0.12689808
197,0.15490302
198,0.1751146
199,0.23219931
200,0.28456935
201,0.4143868
202,0.54924023
203,0.5421032
204,0.49400398
205,0.41758108
206,0.4291662
207,0.36361825
208,0.4403604
209,0.4886224
210,0.6621884
211,0.74863553
212,0.8265716
213,0.81360376
214,0.8554525
215,0.9035647
216,0.70254856
217,0.6865138
