Time,Power(MW),Capacity(MWp)
01/01/2017 00:00,0.0,79.74
01/01/2017 00:15,0.0,79.74
01/01/2017 00:30,0.0,79.74
01/01/2017 00:45,0.0,79.74
01/01/2017 01:00,0.0,79.74
01/01/2017 01:15,0.0,79.74
01/01/2017 01:30,0.0,79.74
01/01/2017 01:45,0.0,79.74
01/01/2017 02:00,0.0,79.74
01/01/2017 02:15,0.0,79.74
01/01/2017 02:30,0.0,79.74
01/01/2017 02:45,0.0,79.74
01/01/2017 03:00,0.0,79.74
01/01/2017 03:15,0.0,79.74
01/01/2017 03:30,0.0,79.74
01/01/2017 03:45,0.0,79.74
01/01/2017 04:00,0.0,79.74
01/01/2017 04:15,0.0,79.74
01/01/2017 04:30,0.0,79.74
01/01/2017 04:45,0.0,79.74
01/01/2017 05:00,0.0,79.74
01/01/2017 05:15,0.0,79.74
01/01/2017 05:30,0.0,79.74
01/01/2017 05:45,0.0,79.74
01/01/2017 06:00,0.0,79.74
01/01/2017 06:15,0.0,79.74
01/01/2017 06:30,0.0,79.74
01/01/2017 06:45,0.0,79.74
01/01/2017 07:00,0.0,79.74
01/01/2017 07:15,0.0,79.74
01/01/2017 07:30,0.0,79.74
01/01/2017 07:45,0.0,79.74
01/01/2017 08:00,0.0,79.74
01/01/2017 08:15,0.0,79.74
01/01/2017 08:30,0.0,79.74
01/01/2017 08:45,0.0,79.74
01/01/2017 09:00,0.27,79.74
01/01/2017 09:15,0.72,79.74
01/01/2017 09:30,1.38,79.74
01/01/2017 09:45,2.18,79.74
01/01/2017 10:00,3.03,79.74
01/01/2017 10:15,4.26,79.74
01/01/2017 10:30,5.5,79.74
01/01/2017 10:45,6.53,79.74
01/01/2017 11:00,8.01,79.74
01/01/2017 11:15,9.06,79.74
01/01/2017 11:30,9.5,79.74
01/01/2017 11:45,9.5,79.74
01/01/2017 12:00,9.37,79.74
01/01/2017 12:15,8.77,79.74
01/01/2017 12:30,7.59,79.74
01/01/2017 12:45,6.35,79.74
01/01/2017 13:00,5.3,79.74
01/01/2017 13:15,4.31,79.74
01/01/2017 13:30,3.84,79.74
01/01/2017 13:45,3.59,79.74
01/01/2017 14:00,3.54,79.74
01/01/2017 14:15,3.41,79.74
01/01/2017 14:30,2.96,79.74
01/01/2017 14:45,2.48,79.74
01/01/2017 15:00,2.11,79.74
01/01/2017 15:15,1.72,79.74
01/01/2017 15:30,1.39,79.74
01/01/2017 15:45,0.92,79.74
01/01/2017 16:00,0.48,79.74
01/01/2017 16:15,0.18,79.74
01/01/2017 16:30,0.0,79.74
01/01/2017 16:45,0.0,79.74
01/01/2017 17:00,0.0,79.74
01/01/2017 17:15,0.0,79.74
01/01/2017 17:30,0.0,79.74
01/01/2017 17:45,0.0,79.74
01/01/2017 18:00,0.0,79.74
01/01/2017 18:15,0.0,79.74
