DateTime,Quality status,Resolution code,Net regulation volume,System imbalance,Alpha,Marginal incremental price,Marginal decremental price,Strategic reserve price,Positive imbalance price,Negative imbalance price
01/01/2019 00:00,Validated,PT15M,10.141,-109.563,0,88.17,6.48,,88.17,88.17
01/01/2019 00:15,Validated,PT15M,142.941,-154.044,1.57,88.17,0,,88.17,89.74
01/01/2019 00:30,Validated,PT15M,39.804,-12.001,0,88.17,6.48,,88.17,88.17
01/01/2019 00:45,Validated,PT15M,-52.582,78.415,0,88.17,6.48,,6.48,6.48
01/01/2019 01:00,Validated,PT15M,86.997,-113.194,0,88.17,6.48,,88.17,88.17
01/01/2019 01:15,Validated,PT15M,14.45,-0.506,0,88.17,6.48,,88.17,88.17
01/01/2019 01:30,Validated,PT15M,-49.539,57.915,0,88.17,6.48,,6.48,6.48
01/01/2019 01:45,Validated,PT15M,-109.952,139.986,0,0,6.48,,6.48,6.48
01/01/2019 02:00,Validated,PT15M,-44.003,20.354,0,88.17,6.48,,6.48,6.48
01/01/2019 02:15,Validated,PT15M,-90.779,102.515,0,88.17,6.48,,6.48,6.48
01/01/2019 02:30,Validated,PT15M,-96.458,127.468,0,0,6.48,,6.48,6.48
01/01/2019 02:45,Validated,PT15M,-145.004,202.546,0.87,0,6.48,,5.61,6.48
01/01/2019 03:00,Validated,PT15M,-43.307,-13.7,0,82.33,3.03,,3.03,3.03
01/01/2019 03:15,Validated,PT15M,14.869,8.073,0,82.33,3.03,,82.33,82.33
01/01/2019 03:30,Validated,PT15M,-53.564,69.015,0,82.33,3.03,,3.03,3.03
01/01/2019 03:45,Validated,PT15M,-132.677,160.513,0.82,0,3.03,,2.21,3.03
01/01/2019 04:00,Validated,PT15M,-98.631,92.576,0,0,3.03,,3.03,3.03
01/01/2019 04:15,Validated,PT15M,-18.98,26.061,0,82.33,3.03,,3.03,3.03
01/01/2019 04:30,Validated,PT15M,-52.134,58.586,0,82.33,3.03,,3.03,3.03
01/01/2019 04:45,Validated,PT15M,-27.291,62.017,0,82.33,3.03,,3.03,3.03
01/01/2019 05:00,Validated,PT15M,144.654,-170.54,0.64,82.33,0,,82.33,82.97
01/01/2019 05:15,Validated,PT15M,56.389,-43.491,0,82.33,3.03,,82.33,82.33
01/01/2019 05:30,Validated,PT15M,-5.229,18.439,0,82.33,3.03,,3.03,3.03
01/01/2019 05:45,Validated,PT15M,-56.234,61.801,0,0,3.03,,3.03,3.03
01/01/2019 06:00,Validated,PT15M,-180.201,201.085,0.7,0,3.03,,2.34,3.03
01/01/2019 06:15,Validated,PT15M,-178.456,183.886,0.97,0,3.03,,2.06,3.03
01/01/2019 06:30,Validated,PT15M,-147.308,165.962,1.17,0,3.03,,1.86,3.03
01/01/2019 06:45,Validated,PT15M,-254.588,298.385,1.88,0,3.03,,1.15,3.03
01/01/2019 07:00,Validated,PT15M,-40.97,54.764,0,88.17,6.48,,6.48,6.48
01/01/2019 07:15,Validated,PT15M,-131.707,196.924,1.97,0,6.48,,4.51,6.48
01/01/2019 07:30,Validated,PT15M,-145,210.996,2.34,0,6.48,,4.14,6.48
01/01/2019 07:45,Validated,PT15M,-150.994,206.465,2.66,0,6.48,,3.82,6.48
01/01/2019 08:00,Validated,PT15M,-112.349,112.893,0,82.33,3.03,,3.03,3.03
01/01/2019 08:15,Validated,PT15M,-70.135,85.256,0,82.33,3.03,,3.03,3.03
01/01/2019 08:30,Validated,PT15M,-43.176,50.546,0,82.33,3.03,,3.03,3.03
01/01/2019 08:45,Validated,PT15M,-26.199,29.408,0,82.33,3.03,,3.03,3.03
01/01/2019 09:00,Validated,PT15M,-23.503,38.877,0,82.33,3.03,,3.03,3.03
01/01/2019 09:15,Validated,PT15M,-33.455,39.035,0,82.33,3.03,,3.03,3.03
01/01/2019 09:30,Validated,PT15M,-17.717,23.593,0,82.33,3.03,,3.03,3.03
01/01/2019 09:45,Validated,PT15M,-57.65,54.562,0,82.33,3.03,,3.03,3.03
01/01/2019 10:00,Validated,PT15M,-92.806,165.391,0.37,88.17,6.48,,6.11,6.48
01/01/2019 10:15,Validated,PT15M,-113.586,119.151,0,88.17,1.2,,1.2,1.2
01/01/2019 10:30,Validated,PT15M,-78.444,80.295,0,88.17,1.2,,1.2,1.2
01/01/2019 10:45,Validated,PT15M,2.519,65.534,0,88.17,6.48,,88.17,88.17
01/01/2019 11:00,Validated,PT15M,-62.594,15.348,0,88.17,6.48,,6.48,6.48
01/01/2019 11:15,Validated,PT15M,-74.416,61.216,0,88.17,6.48,,6.48,6.48
01/01/2019 11:30,Validated,PT15M,-10.924,30.023,0,88.17,6.48,,6.48,6.48
01/01/2019 11:45,Validated,PT15M,24.187,4.561,0,88.17,6.48,,88.17,88.17
01/01/2019 12:00,Validated,PT15M,-36.432,31.344,0,88.17,6.48,,6.48,6.48
01/01/2019 12:15,Validated,PT15M,-70.21,78.244,0,88.17,6.48,,6.48,6.48
01/01/2019 12:30,Validated,PT15M,-44.253,91.378,0,88.17,6.48,,6.48,6.48
01/01/2019 12:45,Validated,PT15M,-55.123,28.562,0,88.17,6.48,,6.48,6.48
01/01/2019 13:00,Validated,PT15M,-33.05,58.565,0,88.17,6.48,,6.48,6.48
01/01/2019 13:15,Validated,PT15M,-1.872,6.899,0,88.17,6.48,,6.48,6.48
01/01/2019 13:30,Validated,PT15M,118.082,-189.364,0.46,88.17,6.48,,88.17,88.63
01/01/2019 13:45,Validated,PT15M,188.61,-191.578,0.77,121.09,6.48,,121.09,121.86
01/01/2019 14:00,Validated,PT15M,148.926,-140.795,0.93,111.79,6.48,,111.79,112.72
01/01/2019 14:15,Validated,PT15M,129.217,-131.395,0,111.79,6.48,,111.79,111.79
01/01/2019 14:30,Validated,PT15M,127.301,-121.721,0,111.79,6.48,,111.79,111.79
01/01/2019 14:45,Validated,PT15M,61.204,-44.001,0,111.79,6.48,,111.79,111.79
01/01/2019 15:00,Validated,PT15M,44.389,-128.375,0,88.17,6.48,,88.17,88.17
01/01/2019 15:15,Validated,PT15M,145,-190.181,1.49,88.17,0,,88.17,89.66
01/01/2019 15:30,Validated,PT15M,134.903,-131.544,0,88.17,0,,88.17,88.17
01/01/2019 15:45,Validated,PT15M,66.944,-21.28,0,88.17,6.48,,88.17,88.17
01/01/2019 16:00,Validated,PT15M,-131.738,254.813,1.41,0,6.48,,5.07,6.48
01/01/2019 16:15,Validated,PT15M,-145,243.042,1.76,0,6.48,,4.72,6.48
01/01/2019 16:30,Validated,PT15M,-197.394,178.934,1.9,0,0,,-1.9,0
01/01/2019 16:45,Validated,PT15M,38.2,20.239,0,88.17,6.48,,88.17,88.17
01/01/2019 17:00,Validated,PT15M,-215.513,159.168,1.96,88.17,0,,-1.96,0
01/01/2019 17:15,Validated,PT15M,-74.726,-112.305,0,88.17,0,,0,0
01/01/2019 17:30,Validated,PT15M,106.456,-85.103,0,88.17,6.48,,88.17,88.17
01/01/2019 17:45,Validated,PT15M,-63.491,69.122,0,88.17,6.48,,6.48,6.48
01/01/2019 18:00,Validated,PT15M,78.939,-54.713,0,88.17,6.48,,88.17,88.17
01/01/2019 18:15,Validated,PT15M,-50.448,49.481,0,88.17,6.48,,6.48,6.48
01/01/2019 18:30,Validated,PT15M,13.683,1.602,0,88.17,6.48,,88.17,88.17
01/01/2019 18:45,Validated,PT15M,-76.549,113.454,0,88.17,6.48,,6.48,6.48
01/01/2019 19:00,Validated,PT15M,-97.491,99.851,0,0,6.48,,6.48,6.48
01/01/2019 19:15,Validated,PT15M,-142.558,182.124,0.61,0,6.48,,5.87,6.48
01/01/2019 19:30,Validated,PT15M,-78.217,80.826,0,88.17,6.48,,6.48,6.48
01/01/2019 19:45,Validated,PT15M,-99.46,180.272,0.84,88.17,6.48,,5.64,6.48
01/01/2019 20:00,Validated,PT15M,16.462,-74.794,0,82.33,3.03,,82.33,82.33
01/01/2019 20:15,Validated,PT15M,-54.859,118.922,0,82.33,3.03,,3.03,3.03
01/01/2019 20:30,Validated,PT15M,-136.184,152.535,1.15,0,3.03,,1.88,3.03
01/01/2019 20:45,Validated,PT15M,-142.032,189.155,1.34,0,3.03,,1.69,3.03
01/01/2019 21:00,Validated,PT15M,-192.127,225.745,1.68,82.33,0,,-1.68,0
01/01/2019 21:15,Validated,PT15M,-257.313,282.342,2.07,0,0,,-2.07,0
01/01/2019 21:30,Validated,PT15M,-195.787,206.059,2.37,82.33,0,,-2.37,0
01/01/2019 21:45,Validated,PT15M,-275.956,350.883,3.13,0,0,,-3.13,0
01/01/2019 22:00,Validated,PT15M,-227.402,121.518,0,88.17,0,,0,0
01/01/2019 22:15,Validated,PT15M,69.884,25.047,0,88.17,6.48,,88.17,88.17
01/01/2019 22:30,Validated,PT15M,-131.812,173.64,3.15,88.17,6.48,,3.33,6.48
01/01/2019 22:45,Validated,PT15M,-125.282,152.587,3.04,88.17,6.48,,3.44,6.48
01/01/2019 23:00,Validated,PT15M,-45.832,-77.623,0,88.17,0.7,,0.7,0.7
01/01/2019 23:15,Validated,PT15M,-16.033,65.334,0,88.17,6.48,,6.48,6.48
01/01/2019 23:30,Validated,PT15M,-145,197.652,2.01,0,6.48,,4.47,6.48
01/01/2019 23:45,Validated,PT15M,-142.684,261.193,1.55,0,6.48,,4.93,6.48
02/01/2019 00:00,Validated,PT15M,34.53,-314.62,2.26,91.19,6.83,,91.19,93.45
02/01/2019 00:15,Validated,PT15M,118.579,-10.693,0,218.21,6.83,,218.21,218.21
02/01/2019 00:30,Validated,PT15M,-115.994,149.624,2.19,0,6.83,,4.64,6.83
02/01/2019 00:45,Validated,PT15M,-174.491,209.202,2.36,0,6.83,,4.47,6.83
02/01/2019 01:00,Validated,PT15M,-68.407,103.623,0,91.19,6.83,,6.83,6.83
02/01/2019 01:15,Validated,PT15M,-154.893,167.061,2.59,91.19,6.83,,4.23,6.83
02/01/2019 01:30,Validated,PT15M,-157.036,174.317,2.52,0,6.83,,4.31,6.83
02/01/2019 01:45,Validated,PT15M,-171.886,187.888,2.25,0,6.83,,4.58,6.83
02/01/2019 02:00,Validated,PT15M,-143.43,262.385,2,0,6.83,,4.83,6.83
02/01/2019 02:15,Validated,PT15M,-222.709,234.326,2.45,0,6.83,,4.38,6.83
