,0
0,0.0
1,0.0
2,0.0014153435
3,0.01191997
4,0.021687053
5,0.028816326
6,0.034390427
7,0.040687434
8,0.048285656
9,0.053913414
10,0.055635035
11,0.053267375
12,0.049701937
13,0.045171037
14,0.04153558
15,0.03891834
16,0.036897574
17,0.034349345
18,0.032223012
19,0.02973555
20,0.02854081
21,0.027412305
22,0.028225284
23,0.029314868
24,0.030038498
25,0.029645404
26,0.026435016
27,0.02190642
28,0.016637845
29,0.011810177
30,0.008874033
31,0.012697425
32,0.02188476
33,0.03552456
34,0.047973905
35,0.05495084
36,0.06328514
37,0.07518358
38,0.086066
39,0.09285019
40,0.09501818
41,0.09494939
42,0.09838631
43,0.10106764
44,0.1053991
45,0.10659083
46,0.10519009
47,0.09582741
48,0.08945965
49,0.086599186
50,0.08108956
51,0.07460987
52,0.072434746
53,0.07022727
54,0.06223855
55,0.051398654
56,0.039830267
57,0.028177295
58,0.017793553
59,0.009920536
60,0.0055998587
61,0.003626917
62,0.0064366055
63,0.014503736
64,0.025374219
65,0.037653785
66,0.049619555
67,0.05963594
68,0.06827251
69,0.076286204
70,0.08734374
71,0.09835635
72,0.10514632
73,0.10379883
74,0.10449023
75,0.10078259
76,0.10259069
77,0.10414494
78,0.10301686
79,0.10243309
80,0.10531884
81,0.10817257
82,0.09433625
83,0.08455276
84,0.08043106
85,0.077100806
86,0.069040775
87,0.047171555
88,0.02981992
89,0.017945064
90,0.00950445
91,0.0035384041
92,0.0012112004
93,0.006455597
94,0.018057188
95,0.030595228
96,0.0400849
97,0.045366745
98,0.053819843
99,0.06326724
100,0.0700462
101,0.075710066
102,0.0877951
103,0.09020459
104,0.07550091
105,0.057933576
106,0.04903032
107,0.050933048
108,0.049055908
109,0.040783856
110,0.032173462
111,0.027170233
112,0.025909547
113,0.024525503
114,0.023623906
115,0.02210492
116,0.019272432
117,0.015755303
118,0.013691119
119,0.012670223
120,0.011897389
121,0.010958648
122,0.011044201
123,0.012315499
124,0.016488533
125,0.021572225
126,0.026445277
127,0.02928382
128,0.03007929
129,0.029359702
130,0.029747464
131,0.029738681
132,0.030815858
133,0.03190661
134,0.03427047
135,0.037378643
136,0.03902823
137,0.03962629
138,0.03841108
139,0.03725476
140,0.036638945
141,0.035662595
142,0.033690795
143,0.030594945
144,0.026503224
145,0.023692463
146,0.021208638
147,0.017260812
148,0.014039576
149,0.011752614
150,0.010503775
151,0.011515651
152,0.016058099
153,0.02315683
154,0.03070103
155,0.034628034
156,0.0367994
157,0.037940934
158,0.041951213
159,0.047055908
160,0.05132261
161,0.05477273
162,0.055560976
163,0.054332707
164,0.05118384
165,0.04922775
166,0.04857521
167,0.05010201
168,0.048707534
169,0.04452178
170,0.038004603
171,0.03487471
172,0.031230561
173,0.028267436
174,0.02515674
175,0.021102116
176,0.016571667
177,0.0122321425
178,0.009663319
179,0.008707599
180,0.010133692
181,0.014352985
182,0.020351676
183,0.026688956
184,0.031757735
185,0.034986764
186,0.03727367
187,0.037895806
188,0.037050627
189,0.03813751
190,0.043801203
191,0.04930345
192,0.04894469
193,0.046075106
194,0.045518793
195,0.04698871
196,0.048432805
197,0.05252671
198,0.05489002
199,0.056472078
200,0.050858743
201,0.041769896
202,0.03345342
203,0.02749605
204,0.02384317
205,0.021852272
206,0.019556101
207,0.013867576
208,0.00944384
209,0.0077472185
210,0.011772046
211,0.022285461
212,0.03749502
213,0.047471825
214,0.051890794
215,0.060895458
216,0.06658429
217,0.07990327
218,0.10368974
219,0.1250278
220,0.13166872
221,0.12842451
222,0.108700596
223,0.08793942
224,0.09301535
225,0.105047226
226,0.10263228
227,0.094754145
228,0.08297495
229,0.07672007
230,0.07766393
231,0.0803944
232,0.060982157
233,0.039591372
234,0.033898797
235,0.031090342
236,0.02674089
237,0.022286788
238,0.017233778
239,0.011041509
240,0.0068741147
241,0.012496788
242,0.025125358
243,0.038588002
244,0.056434933
245,0.07778151
246,0.09757515
247,0.120552085
248,0.16206622
249,0.20662038
250,0.2459408
251,0.2543441
252,0.26365513
253,0.2640766
254,0.2788151
255,0.27939364
256,0.27483097
257,0.2594359
258,0.24178256
259,0.24609905
260,0.22230834
261,0.18734767
262,0.1711415
263,0.13622312
264,0.10602022
265,0.080493055
266,0.06762958
267,0.0509418
268,0.03891615
269,0.025717845
270,0.0127082225
271,0.0016614334
272,0.0
273,0.00063215796
274,0.010897312
275,0.022895383
276,0.032953598
277,0.04152935
278,0.04751409
279,0.050401606
280,0.05271628
281,0.057723522
282,0.063745685
283,0.072111785
284,0.0772713
285,0.0825267
286,0.08678863
287,0.08806484
288,0.09891077
289,0.1085762
290,0.117135674
291,0.11495287
292,0.10120547
293,0.07981923
294,0.06888687
295,0.06212402
296,0.052646294
297,0.041196898
298,0.03275562
299,0.027152397
300,0.021011772
301,0.014087793
302,0.008306426
303,0.0050327783
304,0.005977037
305,0.01176228
306,0.020902963
307,0.032026004
308,0.043126285
309,0.060135618
310,0.08202744
311,0.09462543
312,0.09780352
313,0.09865751
314,0.09074648
315,0.07968562
316,0.073839374
317,0.07122164
318,0.07047044
319,0.06768347
320,0.06270229
321,0.057912976
322,0.06357395
323,0.06318568
324,0.05411294
325,0.05145187
326,0.056521874
327,0.06276846
328,0.06444019
329,0.056626383
330,0.045822002
331,0.035847876
332,0.026656192
333,0.016813042
334,0.0076666665
335,0.0030419421
336,0.0058974666
337,0.013998652
338,0.025700133
339,0.04082349
340,0.05114488
341,0.04876026
342,0.043150634
343,0.0433522
344,0.050178677
345,0.05336582
346,0.047604248
347,0.042437144
348,0.04286031
349,0.048818093
350,0.048874673
351,0.04208967
352,0.034452222
353,0.026645146
354,0.018690176
355,0.016065506
356,0.016600534
357,0.01847072
358,0.021659585
359,0.023582404
360,0.023513466
361,0.021696653
362,0.019288916
363,0.01637951
364,0.013560564
365,0.01098831
366,0.010493886
367,0.0130635295
368,0.017534804
369,0.024785485
370,0.034454383
371,0.046263233
372,0.04833585
373,0.041843694
374,0.035909068
375,0.034111705
376,0.032644577
377,0.033743978
378,0.03548579
379,0.03319208
380,0.030062031
381,0.027401505
382,0.02605606
383,0.023977805
384,0.023437008
385,0.02538981
386,0.026909862
387,0.026785186
388,0.025713863
389,0.022981815
390,0.022486633
391,0.020778779
392,0.017246285
393,0.0133257555
394,0.010935243
395,0.010230176
396,0.017382447
397,0.030790761
398,0.04443617
399,0.05924906
400,0.07105993
401,0.08283646
402,0.09154963
403,0.11252957
404,0.13460644
405,0.16568756
406,0.21635264
407,0.24854983
408,0.21102244
409,0.19934934
410,0.21199429
411,0.21813858
412,0.21968038
413,0.23489961
414,0.23114368
415,0.2052495
416,0.18201059
417,0.1890825
418,0.15414174
419,0.11532323
420,0.10096294
421,0.08006471
422,0.058232248
423,0.03929628
424,0.022995064
425,0.0093116015
426,0.0
427,0.0
