,0
0,0.1195743
1,0.18659326
2,0.17425898
3,0.13727097
4,0.1313279
5,0.1670939
6,0.17066872
7,0.16862887
8,0.16695915
9,0.101431265
10,0.15345025
11,0.13688034
12,0.12692377
13,0.13521414
14,0.08467873
15,0.1153399
16,0.11586094
17,0.08150707
18,0.10682856
19,0.09840764
20,0.14532237
21,0.09056693
22,0.082865074
23,0.08553264
24,0.117522314
25,0.12389161
26,0.12872402
27,0.13285638
28,0.16580307
29,0.14996777
30,0.12998278
31,0.1344729
32,0.110878535
33,0.10407852
34,0.09678237
35,0.09862918
36,0.13755709
37,0.12102151
38,0.11530195
39,0.11586005
40,0.12086737
41,0.13513386
42,0.14937963
43,0.15848733
44,0.17178124
45,0.19549233
46,0.2173962
47,0.2092783
48,0.24950793
49,0.202532
50,0.22807685
51,0.23340455
52,0.20105588
53,0.24526757
54,0.20528272
55,0.17918375
56,0.17601593
57,0.1710805
58,0.18508829
59,0.17828873
60,0.18676245
61,0.19863027
62,0.21210735
63,0.19567874
64,0.18509173
65,0.20236728
66,0.18293855
67,0.19889605
68,0.20974916
69,0.17830458
70,0.24041331
71,0.20568353
72,0.19941907
73,0.18058246
74,0.21545513
75,0.1254265
76,0.20499875
77,0.22229916
78,0.22579375
79,0.2143166
80,0.20244053
81,0.21871804
82,0.38845518
83,0.29495922
84,0.20956443
85,0.28605208
86,0.26580676
87,0.30074304
88,0.26770803
89,0.26234362
90,0.2132514
91,0.17570503
92,0.2116865
93,0.18339622
94,0.18600024
95,0.16432223
96,0.16229387
97,0.14045258
98,0.15416376
99,0.13439986
100,0.13844143
101,0.18430409
102,0.2649379
103,0.25484022
104,0.22593692
105,0.15203011
106,0.14974685
107,0.13018587
108,0.1703405
109,0.15576105
110,0.15994039
111,0.28481105
112,0.16547742
113,0.18959238
114,0.230867
115,0.21218142
116,0.15997888
117,0.18515733
118,0.16956022
119,0.15539813
120,0.12799695
121,0.18660511
122,0.16399226
123,0.17202348
124,0.19082616
125,0.17638192
126,0.1781578
127,0.22811675
128,0.20611769
129,0.20807359
130,0.22069696
131,0.2553916
132,0.17290306
133,0.15155746
134,0.12859304
135,0.2127614
136,0.18882719
137,0.26810968
138,0.16737011
139,0.15524915
140,0.16943379
141,0.122944124
142,0.1380674
143,0.12452071
144,0.1568287
145,0.122836225
146,0.078684814
147,0.10135661
148,0.13299501
149,0.128758
150,0.13150042
151,0.15975872
152,0.07463962
153,0.13547899
154,0.18049043
155,0.17520371
156,0.18943134
157,0.14961475
158,0.14118683
159,0.06837227
160,0.14987148
161,0.12957022
162,0.10511875
163,0.08081865
164,0.17486739
165,0.17101914
166,0.108507946
167,0.13662209
168,0.13903561
169,0.12757848
170,0.10217202
171,0.0999354
172,0.10313426
173,0.09416306
174,0.11372079
175,0.10685021
176,0.12448757
177,0.13135472
178,0.115098774
179,0.09357734
180,0.11939506
181,0.11062055
182,0.10245176
183,0.073488265
184,0.06545043
185,0.0969503
186,0.07734382
187,0.08517786
188,0.07144921
189,0.05404613
190,0.053576037
191,0.039332353
192,0.05634501
193,0.07284833
194,0.07063219
195,0.063345484
196,0.082648
197,0.070678696
198,0.048919693
199,0.039113984
200,0.053865813
201,0.06691197
202,0.044786632
203,0.04143241
204,0.021624342
205,0.0057263672
206,0.010161571
207,0.01710967
208,0.029690579
209,0.030106097
210,0.012791291
211,0.014737591
212,0.0065522715
213,0.0020359159
214,0.0033847392
215,0.004410267
216,0.0067553
217,0.0021617562
218,0.0033508092
219,0.0031106994
220,0.0057860687
221,0.010367408
222,0.009086855
223,0.009367421
224,0.01594174
225,0.014140137
226,0.01452823
227,0.014469169
228,0.0052503273
229,0.010343656
230,0.009114303
231,0.010664687
232,0.016905576
233,0.028428048
234,0.042374864
235,0.03575042
236,0.037438132
237,0.031828776
238,0.012286916
239,0.00035215914
240,0.003775537
241,0.0056534857
242,0.013026133
243,0.017631166
244,0.009693429
245,0.013079472
246,0.025545172
247,0.03923919
248,0.028731853
249,0.031451494
250,0.008607149
251,0.007871389
252,0.019046009
253,0.014624327
254,0.04364323
255,0.03949964
256,0.031097397
257,0.030871682
258,0.011324063
259,0.012447387
260,0.031048164
261,0.03637226
262,0.022882834
263,0.041113466
264,0.06401332
265,0.073092945
266,0.060016364
267,0.06629128
268,0.088481076
269,0.09651893
270,0.06816645
271,0.09716306
272,0.070845604
273,0.061919287
274,0.052835308
275,0.057897173
276,0.047314048
277,0.051410004
278,0.042505242
279,0.08343984
280,0.06650837
281,0.07487145
282,0.066300474
283,0.061946437
