,0
0,0.4863756
1,0.472992
2,0.48299092
3,0.4216392
4,0.519317
5,0.5009951
6,0.5004854
7,0.36962685
8,0.34032792
9,0.2639627
10,0.26244915
11,0.2933544
12,0.21891412
13,0.15224332
14,0.15698643
15,0.15582576
16,0.1735446
17,0.13706952
18,0.15241607
19,0.17792407
20,0.15616989
21,0.13255109
22,0.14449877
23,0.08896916
24,0.09166069
25,0.08458814
26,0.074322686
27,0.061320573
28,0.039893
29,0.02324181
30,0.011994809
31,0.0071824193
32,0.008577123
33,0.02018515
34,0.01697123
35,0.021647394
36,0.031038113
37,0.025735341
38,0.060370862
39,0.059767857
40,0.030910946
41,0.01625862
42,0.017853476
43,0.028123327
44,0.04378265
45,0.010648474
46,0.04047873
47,0.029975802
48,0.03235089
49,0.022734337
50,0.050545827
51,0.025845513
52,0.014912955
53,0.050317183
54,0.04423686
55,0.058765516
56,0.065465376
57,0.1031682
58,0.10409208
59,0.110466875
60,0.088058904
61,0.067976095
62,0.072256416
63,0.07371257
64,0.10090867
65,0.08140231
66,0.06697788
67,0.112343654
68,0.160528
69,0.1918805
70,0.18661134
71,0.21886122
72,0.21913058
73,0.197878
74,0.16398467
75,0.18512379
76,0.23901099
77,0.27412403
78,0.22153328
79,0.2747486
80,0.27197993
81,0.25335768
82,0.25530556
83,0.25446832
84,0.3221054
85,0.31085378
86,0.26326138
87,0.32270992
88,0.32392588
89,0.3238257
90,0.290045
91,0.33867943
92,0.4160182
93,0.34501305
94,0.26977333
95,0.32779062
96,0.34741533
97,0.37186503
98,0.47355092
99,0.59559715
100,0.5256555
101,0.4130127
102,0.44250715
103,0.5130436
104,0.5009253
105,0.5026031
106,0.5714672
107,0.58440614
108,0.6593486
109,0.5576699
110,0.55062497
111,0.6417135
112,0.54007065
113,0.46725598
114,0.48186538
115,0.4085954
116,0.45154163
117,0.5040965
118,0.5222659
119,0.46959162
120,0.44466826
121,0.43607503
122,0.4065243
123,0.4525829
124,0.48516226
125,0.44435257
126,0.41824204
127,0.3324846
128,0.27506912
129,0.2751165
130,0.31078854
131,0.3438042
132,0.28061676
133,0.37887767
134,0.3667431
135,0.28963754
136,0.24236557
137,0.27132925
138,0.29827264
139,0.3549928
140,0.35401303
141,0.4278309
142,0.38463324
143,0.36317027
144,0.399007
145,0.36884794
146,0.33512837
147,0.39295107
148,0.39702848
149,0.42595735
150,0.45418382
151,0.46839064
152,0.44796807
153,0.5234648
154,0.60196805
155,0.54444754
156,0.5790247
157,0.5703441
158,0.55038613
159,0.6106024
160,0.5329106
161,0.58618164
162,0.5935954
163,0.52855563
164,0.5027171
165,0.558505
166,0.62840044
167,0.66551536
168,0.67512375
169,0.7128454
170,0.7255495
171,0.63472754
172,0.6509678
173,0.67985624
174,0.6953313
175,0.6790482
176,0.75277776
177,0.7734706
178,0.7757573
179,0.7516926
180,0.7611951
181,0.76780075
182,0.7820502
183,0.7820518
184,0.733912
185,0.660264
186,0.6803848
187,0.62379384
188,0.60988724
189,0.63261485
190,0.63002104
191,0.64978725
192,0.65324515
193,0.7217557
194,0.7157895
195,0.71495694
196,0.69051754
197,0.68776315
198,0.696105
199,0.71569175
200,0.70611995
201,0.67713803
202,0.6038685
203,0.5949914
204,0.5819259
205,0.65987676
206,0.58584344
207,0.62741953
208,0.5840094
209,0.58646196
210,0.5477854
211,0.6023904
212,0.60754156
213,0.5817395
214,0.5689127
215,0.5693273
216,0.5779551
217,0.53961515
218,0.49769115
219,0.4662612
220,0.48458838
221,0.43821046
222,0.47410235
223,0.4791299
224,0.5586259
225,0.505754
226,0.5878781
227,0.5612943
228,0.5150547
229,0.4564678
230,0.47894865
231,0.4109366
232,0.43213487
233,0.4049795
234,0.33771163
235,0.3633157
236,0.35236868
237,0.38861835
238,0.4131725
239,0.38694614
240,0.4638034
241,0.48464102
242,0.41956556
243,0.43770584
244,0.4481923
245,0.45227724
246,0.5234557
247,0.5721511
248,0.48434734
249,0.46767837
250,0.5544033
251,0.60439444
252,0.5864901
253,0.62876314
254,0.6313914
255,0.5990813
256,0.5584444
257,0.5925292
258,0.5807837
259,0.63409823
260,0.675986
261,0.72564656
262,0.736949
263,0.66219455
264,0.71740454
265,0.8135868
266,0.81368124
267,0.7968233
268,0.78296226
269,0.78581405
270,0.8066486
271,0.70229286
272,0.61296517
273,0.71378833
274,0.7769559
275,0.7808651
276,0.8072706
277,0.8018708
278,0.8080842
279,0.8379471
280,0.8173247
281,0.7453134
282,0.68808824
283,0.63346446
284,0.5176355
285,0.49458283
286,0.3836974
287,0.3305424
288,0.34845644
289,0.39324388
290,0.3674449
291,0.29809314
292,0.30123585
293,0.33489203
294,0.31988263
295,0.39504215
296,0.31523603
297,0.2138156
298,0.21868372
299,0.2500307
300,0.23572622
301,0.34525
302,0.3599717
303,0.3419487
304,0.29562113
305,0.268753
306,0.22738174
307,0.26364604
308,0.25187254
309,0.30522156
310,0.32588178
311,0.36037728
312,0.31751716
313,0.3371402
314,0.308634
315,0.29241174
316,0.28685778
317,0.31512153
318,0.24421819
319,0.2696912
320,0.32238132
321,0.30798244
322,0.34538698
323,0.30732235
324,0.3403541
325,0.30111313
326,0.2613268
327,0.3295208
328,0.35220045
329,0.3480407
330,0.36380762
331,0.35656905
332,0.3848738
333,0.434572
334,0.31706637
335,0.3217309
336,0.34430307
337,0.35413107
338,0.2994393
339,0.3165362
340,0.31275195
341,0.31111923
342,0.29962593
343,0.27135676
344,0.29992193
345,0.26104447
346,0.29258317
347,0.32928592
348,0.3164244
349,0.276684
350,0.2963247
351,0.31897905
352,0.32923913
353,0.31793433
354,0.28096086
355,0.31060225
356,0.37284392
357,0.4034684
358,0.40507862
359,0.47407067
360,0.47359526
361,0.47849506
362,0.5023086
363,0.5884141
364,0.5269419
365,0.563568
366,0.5813179
367,0.5412184
368,0.6433391
369,0.60118616
370,0.5458765
371,0.6996528
372,0.7692967
373,0.7807019
374,0.7145598
375,0.62879467
376,0.63137615
377,0.64900327
378,0.65938234
379,0.6156881
380,0.5420109
381,0.5312747
382,0.49717692
383,0.61251575
384,0.47695547
385,0.39090365
386,0.50034016
387,0.49316153
388,0.49338216
389,0.53447884
390,0.44725022
391,0.41618398
392,0.49210584
393,0.5285512
394,0.5016205
395,0.52346486
396,0.49905586
397,0.46341532
398,0.5229033
399,0.5423824
400,0.48657817
401,0.48075956
402,0.44057742
403,0.43113557
404,0.36701784
405,0.37106472
406,0.33036366
407,0.3850025
408,0.36978197
409,0.37751278
410,0.36856326
411,0.38292617
412,0.41815144
413,0.34904224
414,0.34496588
415,0.3304326
416,0.35453576
417,0.2910282
418,0.3755717
419,0.4420432
420,0.437818
421,0.44331688
422,0.43735266
423,0.303419
424,0.27165735
425,0.30460307
426,0.33842528
427,0.3855876
428,0.41401196
429,0.39589658
430,0.37792546
431,0.36661765
432,0.36673775
433,0.34345004
434,0.35785043
435,0.34825912
436,0.35681245
437,0.27123776
438,0.2591743
439,0.25190166
440,0.23955381
441,0.23845682
442,0.22660238
443,0.24122326
444,0.24697483
445,0.24420567
446,0.24653444
447,0.25233233
448,0.2685808
449,0.2769097
450,0.35185847
451,0.3363195
452,0.34365907
453,0.42560935
454,0.44558525
455,0.4780645
456,0.40191317
457,0.3409289
458,0.35027254
459,0.26659656
460,0.34347326
461,0.40886346
462,0.43921566
463,0.48163235
464,0.48345435
465,0.5124117
466,0.5596586
467,0.49131936
468,0.5041354
469,0.49151826
470,0.49997967
471,0.30990273
472,0.41140607
473,0.38432586
474,0.40104532
475,0.29048306
476,0.3201327
477,0.25142145
478,0.24264091
479,0.28333697
480,0.24131969
481,0.24068627
482,0.2609244
483,0.1827109
484,0.20847076
485,0.27049887
486,0.1992104
487,0.24998036
488,0.20684291
489,0.15542996
490,0.18939328
491,0.10027441
492,0.13264321
493,0.11831636
494,0.14403364
495,0.13277434
496,0.1738918
497,0.1711806
498,0.17627394
499,0.15313935
500,0.12705119
501,0.10407789
502,0.09966527
503,0.08101218
504,0.11504394
505,0.10128273
506,0.09706765
507,0.08140229
508,0.0895907
509,0.07159675
510,0.092250064
511,0.095695354
512,0.06327193
513,0.06146863
514,0.07678747
515,0.050115578
516,0.061094984
517,0.108745776
518,0.11948027
519,0.08022201
520,0.05821202
521,0.053906247
522,0.068302795
523,0.05368731
524,0.07209215
525,0.055305272
526,0.058330774
527,0.070926055
528,0.08178105
529,0.06820014
530,0.06534434
531,0.045299053
532,0.045340225
533,0.018025272
534,0.0303967
535,0.036623828
536,0.03466744
537,0.047093317
538,0.034495518
539,0.059010953
540,0.04703206
541,0.035551623
542,0.049482636
543,0.03912139
544,0.061652094
545,0.052849747
546,0.055039242
547,0.057252772
548,0.08705704
549,0.079844356
550,0.06994489
551,0.06760159
552,0.09475721
553,0.12504862
554,0.16070098
555,0.1599526
556,0.12059687
557,0.08200031
558,0.11109701
559,0.15637091
560,0.20755339
561,0.11205911
562,0.134132
563,0.16756476
564,0.23196982
565,0.29576522
566,0.27969375
567,0.24095276
568,0.23455489
569,0.20731606
570,0.20274845
571,0.16835015
572,0.22308028
573,0.21050858
574,0.21072128
575,0.22901897
576,0.21866646
577,0.21290217
578,0.23905298
579,0.22250089
580,0.2198528
581,0.20639606
582,0.25751033
583,0.20307872
584,0.21123639
585,0.19705331
586,0.22526065
587,0.24001433
588,0.24267204
589,0.270549
590,0.26442355
591,0.30186734
592,0.29932547
593,0.3000999
594,0.28742164
595,0.25484085
596,0.25861603
597,0.2795387
598,0.30772233
599,0.37641403
600,0.50280327
601,0.49394894
602,0.45599222
603,0.4516643
604,0.50021565
605,0.49305913
606,0.4737724
607,0.4967252
608,0.54282594
609,0.56352544
610,0.6893817
611,0.64052314
612,0.69236296
613,0.64992744
614,0.7078137
615,0.7208329
616,0.63224405
617,0.6782742
618,0.72922724
619,0.7482243
620,0.65953636
621,0.7185487
622,0.72113675
623,0.6938325
624,0.7744569
625,0.7370182
626,0.82006866
627,0.6805588
628,0.74755377
629,0.7892222
630,0.82510674
631,0.78686434
632,0.7172002
633,0.70533675
634,0.76936376
635,0.7528599
636,0.8332321
637,0.8400971
638,0.89244664
639,0.8903801
640,0.89448726
641,0.8922993
642,0.8904142
643,0.8587126
644,0.8911821
645,0.8368572
646,0.853581
647,0.869733
648,0.86391586
649,0.7868033
650,0.73046094
651,0.63390714
652,0.68383545
653,0.72363675
654,0.72600037
655,0.7376344
656,0.7316603
657,0.7260494
658,0.682779
659,0.6378564
660,0.59144855
661,0.5658071
662,0.5648539
663,0.56631625
664,0.692924
665,0.63293463
666,0.531492
667,0.62046725
668,0.69455534
669,0.6910154
670,0.72906774
671,0.6088582
672,0.6658569
673,0.68675643
674,0.6952391
675,0.66743356
676,0.71590245
677,0.79516387
678,0.72012645
679,0.63986677
680,0.6757949
681,0.6648885
682,0.4204229
683,0.33889937
684,0.41208935
685,0.34510195
686,0.30105162
687,0.38790298
688,0.47711885
689,0.4864889
690,0.3725496
691,0.31771475
692,0.3067631
693,0.30207205
694,0.38247252
695,0.4771655
696,0.4838021
697,0.49716777
698,0.46654877
699,0.43094736
700,0.42550176
701,0.31545502
702,0.41227788
703,0.40488937
704,0.36661345
705,0.2702664
706,0.24103528
707,0.24979463
708,0.26937935
709,0.26822603
710,0.25606704
711,0.31075788
712,0.34540427
713,0.33815312
714,0.3138672
715,0.26180768
716,0.26710707
717,0.23321918
718,0.22647487
719,0.20685314
720,0.2104498
721,0.15571548
722,0.121991605
723,0.121807225
724,0.12522483
725,0.13298404
726,0.14110869
727,0.101087436
728,0.10408596
729,0.14683501
730,0.13414307
731,0.09882701
732,0.117992304
733,0.09294925
734,0.061557114
735,0.04378523
736,0.053985424
737,0.047199175
738,0.040930696
739,0.1014593
740,0.15030694
741,0.20591487
742,0.2307492
743,0.27243143
744,0.3090496
745,0.33618134
746,0.407596
747,0.47668856
748,0.45734915
749,0.40617692
750,0.45924592
751,0.4929735
752,0.4179223
753,0.42497492
754,0.34609818
755,0.2274844
756,0.261365
757,0.27504602
758,0.35055456
759,0.34026778
760,0.3247752
761,0.36278802
762,0.31075424
763,0.37190247
764,0.34615543
765,0.28898203
766,0.29340327
767,0.24250172
768,0.22746295
769,0.20594913
770,0.21881521
771,0.1858895
772,0.1909765
773,0.15664993
774,0.1763754
775,0.13921446
776,0.18079233
777,0.14659093
778,0.15350923
779,0.14773232
780,0.12955669
781,0.15035708
782,0.14295384
783,0.17766178
784,0.16130628
785,0.1154973
786,0.11105673
787,0.14384261
788,0.14570044
789,0.14396703
790,0.17214319
791,0.16151558
792,0.15959619
793,0.19289093
794,0.17167602
795,0.1949642
796,0.17160994
797,0.19524902
798,0.2797978
799,0.29109058
800,0.22803108
801,0.2803399
802,0.2596814
803,0.37184852
804,0.37068164
805,0.369992
806,0.43107957
807,0.44648919
808,0.50399053
809,0.58226794
810,0.53257483
811,0.52784324
812,0.5980925
813,0.529817
814,0.4765849
815,0.60132325
816,0.6376954
817,0.5111221
818,0.47032785
819,0.4040931
820,0.4166296
821,0.4690888
822,0.4334557
823,0.48413312
824,0.4742229
825,0.46464175
826,0.42299426
827,0.39260465
828,0.42566118
829,0.42731935
830,0.35707337
831,0.3270049
832,0.3851452
833,0.4714077
834,0.45352453
835,0.48137903
836,0.48243684
837,0.40953487
838,0.5101217
839,0.607467
840,0.6272921
841,0.5850376
842,0.6631079
843,0.7150335
844,0.6967269
845,0.77585644
846,0.7419593
847,0.72946405
848,0.7708252
849,0.8316659
850,0.8111914
851,0.8666693
852,0.82015634
853,0.8247549
854,0.83855647
855,0.78958005
856,0.8353156
857,0.84322387
858,0.8704626
859,0.87577754
860,0.86455363
861,0.89348906
862,0.9131823
863,0.9080282
864,0.9038381
865,0.8911597
866,0.5684187
867,0.5854238
868,0.85214084
869,0.6938475
870,0.65037113
871,0.5833178
872,0.6841808
873,0.7592453
874,0.8217444
875,0.8677179
876,0.8242613
877,0.8376573
878,0.7886798
879,0.7901228
880,0.83102626
881,0.8327541
882,0.82542855
